date,site,PM10,PM25,month,year,days_per_month
2015-03-21T11:00:00Z,Ashburton,12.4,NA,3,2015,31
2015-03-22T11:00:00Z,Ashburton,15.7,NA,3,2015,31
2015-03-23T11:00:00Z,Ashburton,15.4,NA,3,2015,31
2015-03-24T11:00:00Z,Ashburton,29.7,NA,3,2015,31
2015-03-25T11:00:00Z,Ashburton,20,NA,3,2015,31
2015-03-26T11:00:00Z,Ashburton,18,NA,3,2015,31
2015-03-27T11:00:00Z,Ashburton,15.4,NA,3,2015,31
2015-03-28T11:00:00Z,Ashburton,11.7,NA,3,2015,31
2015-03-29T11:00:00Z,Ashburton,13.6,NA,3,2015,31
2015-03-30T11:00:00Z,Ashburton,24.4,NA,3,2015,31
2015-03-31T11:00:00Z,Ashburton,26.3,NA,4,2015,30
2015-04-01T11:00:00Z,Ashburton,26.5,NA,4,2015,30
2015-04-02T11:00:00Z,Ashburton,15,NA,4,2015,30
2015-04-03T11:00:00Z,Ashburton,16.3,NA,4,2015,30
2015-04-04T11:00:00Z,Ashburton,12.4,NA,4,2015,30
2015-04-05T12:00:00Z,Ashburton,16.5,NA,4,2015,30
2015-04-06T12:00:00Z,Ashburton,16.3,NA,4,2015,30
2015-04-07T12:00:00Z,Ashburton,24,NA,4,2015,30
2015-04-08T12:00:00Z,Ashburton,18.6,NA,4,2015,30
2015-04-09T12:00:00Z,Ashburton,16.1,NA,4,2015,30
2015-04-10T12:00:00Z,Ashburton,13.3,NA,4,2015,30
2015-04-11T12:00:00Z,Ashburton,12.1,NA,4,2015,30
2015-04-12T12:00:00Z,Ashburton,7.1,NA,4,2015,30
2015-04-13T12:00:00Z,Ashburton,10.8,NA,4,2015,30
2015-04-14T12:00:00Z,Ashburton,27.3,NA,4,2015,30
2015-04-15T12:00:00Z,Ashburton,42.4,NA,4,2015,30
2015-04-16T12:00:00Z,Ashburton,33,NA,4,2015,30
2015-04-17T12:00:00Z,Ashburton,17.4,NA,4,2015,30
2015-04-18T12:00:00Z,Ashburton,13.4,NA,4,2015,30
2015-04-19T12:00:00Z,Ashburton,13.7,NA,4,2015,30
2015-04-20T12:00:00Z,Ashburton,15.5,NA,4,2015,30
2015-04-21T12:00:00Z,Ashburton,8.3,NA,4,2015,30
2015-04-22T12:00:00Z,Ashburton,13.3,NA,4,2015,30
2015-04-23T12:00:00Z,Ashburton,15.7,NA,4,2015,30
2015-04-24T12:00:00Z,Ashburton,27.1,NA,4,2015,30
2015-04-25T12:00:00Z,Ashburton,8.5,NA,4,2015,30
2015-04-26T12:00:00Z,Ashburton,8.8,NA,4,2015,30
2015-04-27T12:00:00Z,Ashburton,13.8,NA,4,2015,30
2015-04-28T12:00:00Z,Ashburton,19.9,NA,4,2015,30
2015-04-29T12:00:00Z,Ashburton,22.8,NA,4,2015,30
2015-04-30T12:00:00Z,Ashburton,29.1,NA,5,2015,31
2015-05-01T12:00:00Z,Ashburton,28.5,NA,5,2015,31
2015-05-02T12:00:00Z,Ashburton,26.6,NA,5,2015,31
2015-05-03T12:00:00Z,Ashburton,43.3,NA,5,2015,31
2015-05-04T12:00:00Z,Ashburton,45.2,NA,5,2015,31
2015-05-05T12:00:00Z,Ashburton,18.3,NA,5,2015,31
2015-05-06T12:00:00Z,Ashburton,19.5,NA,5,2015,31
2015-05-07T12:00:00Z,Ashburton,11.3,NA,5,2015,31
2015-05-08T12:00:00Z,Ashburton,14.1,NA,5,2015,31
2015-05-09T12:00:00Z,Ashburton,25.5,NA,5,2015,31
2015-05-10T12:00:00Z,Ashburton,14.4,NA,5,2015,31
2015-05-11T12:00:00Z,Ashburton,25.3,NA,5,2015,31
2015-05-12T12:00:00Z,Ashburton,14.9,NA,5,2015,31
2015-05-13T12:00:00Z,Ashburton,16.9,NA,5,2015,31
2015-05-14T12:00:00Z,Ashburton,12.9,NA,5,2015,31
2015-05-15T12:00:00Z,Ashburton,27.8,NA,5,2015,31
2015-05-16T12:00:00Z,Ashburton,24.1,NA,5,2015,31
2015-05-17T12:00:00Z,Ashburton,21.1,NA,5,2015,31
2015-05-18T12:00:00Z,Ashburton,29.8,NA,5,2015,31
2015-05-19T12:00:00Z,Ashburton,30.7,NA,5,2015,31
2015-05-20T12:00:00Z,Ashburton,32.8,NA,5,2015,31
2015-05-21T12:00:00Z,Ashburton,21.6,NA,5,2015,31
2015-05-22T12:00:00Z,Ashburton,35.7,NA,5,2015,31
2015-05-23T12:00:00Z,Ashburton,15.2,NA,5,2015,31
2015-05-24T12:00:00Z,Ashburton,12.4,NA,5,2015,31
2015-05-25T12:00:00Z,Ashburton,18.1,NA,5,2015,31
2015-05-26T12:00:00Z,Ashburton,32.1,NA,5,2015,31
2015-05-27T12:00:00Z,Ashburton,47.8,NA,5,2015,31
2015-05-28T12:00:00Z,Ashburton,61.7,NA,5,2015,31
2015-05-29T12:00:00Z,Ashburton,33.4,NA,5,2015,31
2015-05-30T12:00:00Z,Ashburton,47.6,NA,5,2015,31
2015-05-31T12:00:00Z,Ashburton,24,NA,6,2015,30
2015-06-01T12:00:00Z,Ashburton,37.4,NA,6,2015,30
2015-06-02T12:00:00Z,Ashburton,9.6,NA,6,2015,30
2015-06-03T12:00:00Z,Ashburton,24.9,NA,6,2015,30
2015-06-04T12:00:00Z,Ashburton,45.1,NA,6,2015,30
2015-06-05T12:00:00Z,Ashburton,41.6,NA,6,2015,30
2015-06-06T12:00:00Z,Ashburton,32.5,NA,6,2015,30
2015-06-07T12:00:00Z,Ashburton,19.5,NA,6,2015,30
2015-06-08T12:00:00Z,Ashburton,17.9,NA,6,2015,30
2015-06-09T12:00:00Z,Ashburton,11.7,NA,6,2015,30
2015-06-10T12:00:00Z,Ashburton,20.6,NA,6,2015,30
2015-06-11T12:00:00Z,Ashburton,18,NA,6,2015,30
2015-06-12T12:00:00Z,Ashburton,23,NA,6,2015,30
2015-06-13T12:00:00Z,Ashburton,27.9,NA,6,2015,30
2015-06-14T12:00:00Z,Ashburton,14.9,NA,6,2015,30
2015-06-15T12:00:00Z,Ashburton,34.2,NA,6,2015,30
2015-06-16T12:00:00Z,Ashburton,26.4,NA,6,2015,30
2015-06-17T12:00:00Z,Ashburton,26.1,NA,6,2015,30
2015-06-18T12:00:00Z,Ashburton,14.8,NA,6,2015,30
2015-06-19T12:00:00Z,Ashburton,24,NA,6,2015,30
2015-06-20T12:00:00Z,Ashburton,16,NA,6,2015,30
2015-06-21T12:00:00Z,Ashburton,11.1,NA,6,2015,30
2015-06-22T12:00:00Z,Ashburton,44.1,NA,6,2015,30
2015-06-23T12:00:00Z,Ashburton,35.5,NA,6,2015,30
2015-06-24T12:00:00Z,Ashburton,35.6,NA,6,2015,30
2015-06-25T12:00:00Z,Ashburton,20.1,NA,6,2015,30
